Model version,Images trained,Time [s],Loss (G),Loss (D),Loss (D-Real),Loss (D-Fake),Loss (D-GP)
29,1214800,20999.058833122253,137.56876,-4.041878,132.5615,-137.56876,0.96537006
30,1261088,21723.078483581543,143.1172,-4.1150637,138.0386,-143.1172,0.96351767
31,1307984,22447.111219882965,137.48334,-3.9361176,132.60933,-137.48334,0.9378974
32,1354768,23171.22177696228,144.74126,-3.7967286,140.09961,-144.74126,0.8449155
33,1401168,23895.3650598526,135.3882,-3.9134867,130.5656,-135.3882,0.9091191
34,1447440,24619.57919406891,145.21443,-3.8756294,140.45847,-145.21443,0.8803451
35,1494128,25343.695247888565,143.53065,-4.0033054,138.59535,-143.53065,0.93201536
36,1540784,26068.3395614624,138.94069,-3.6319683,134.5342,-138.94069,0.77451104
37,1587728,26792.56188893318,144.02838,-4.003133,139.12091,-144.02838,0.90433407
38,1634000,27516.75217461586,138.73965,-3.9845877,133.82936,-138.73965,0.9257117
39,1680000,28242.442749738693,139.26176,-3.937767,134.40457,-139.26176,0.91944206
40,1726512,28966.57776427269,141.25122,-3.9543653,136.40315,-141.25122,0.89371777
41,1772320,29691.486911535263,136.41309,-4.026396,131.45753,-136.41309,0.92916185
42,1819024,30415.500551223755,136.72092,-3.9814239,131.81912,-136.72092,0.92037815
43,1865168,31139.56818389893,133.21631,-3.9019299,128.39723,-133.21631,0.9171283
44,1908816,31859.835788726807,134.1402587890625,-3.906352996826172,129.29563903808594,-134.1402587890625,0.9382479190826416
45,1955104,32584.340807437897,133.24813842773438,-3.898552894592285,128.46640014648438,-133.24813842773438,0.8832100033760071
46,2001760,33308.51896429062,137.0432586669922,-3.801475524902344,132.37002563476562,-137.0432586669922,0.8717572689056396
47,2048320,34032.5189473629,133.0710906982422,-3.9380738735198975,128.22308349609375,-133.0710906982422,0.909934937953949
48,2095152,34756.71021389961,130.1758270263672,-3.832332849502564,125.47415924072266,-130.1758270263672,0.8693129420280457
49,2142064,35480.95945596695,129.70654296875,-3.801745176315308,125.04875183105467,-129.70654296875,0.8560382723808289
50,2188256,36205.04173660278,129.50848388671875,-3.856560707092285,124.77680206298828,-129.50848388671875,0.8751264810562134
51,2234192,36929.312118291855,125.31097412109376,-3.900676727294922,120.54255676269533,-125.31097412109376,0.8677585124969482
52,2280400,37653.50201368332,125.30683135986328,-3.8630154132843018,120.54573059082033,-125.30683135986328,0.8980915546417236
53,2326992,38377.5344183445,123.7942123413086,-3.854969739913941,119.072021484375,-123.7942123413086,0.8672091960906982
54,2373648,39101.66458868981,123.73689270019533,-3.826099634170532,119.03717803955078,-123.73689270019533,0.8736168146133423
55,2419184,39825.64898729324,122.51294708251952,-3.785555601119995,117.86746978759766,-122.51294708251952,0.8599098324775696
56,2465184,40549.71455717087,122.76905059814452,-3.817773103713989,118.05210876464844,-122.76905059814452,0.8991871476173401
57,2511280,41273.88960170746,118.61085510253906,-3.823078393936157,113.924072265625,-118.61085510253906,0.8637084364891052
58,2557536,41998.08974003792,118.4282455444336,-3.872734785079956,113.6832275390625,-118.4282455444336,0.8722743391990662
59,2604096,42722.23652482033,119.80547332763672,-3.847763538360596,115.0698699951172,-119.80547332763672,0.887859582901001
60,2650336,43446.44288754463,119.60009765625,-3.847440242767334,114.87118530273438,-119.60009765625,0.8814830183982849
61,2696096,44171.37423205376,118.1612777709961,-3.875154972076416,113.4097900390625,-118.1612777709961,0.8763299584388733
62,2742384,44895.6200864315,120.57697296142578,-3.800793409347534,115.88768005371094,-120.57697296142578,0.8884991407394409
63,2788816,45619.63051223755,117.11264038085938,-3.907704114913941,112.28060150146484,-117.11264038085938,0.9243258833885192
64,2835440,46343.6493806839,118.01325225830078,-3.779935598373413,113.3715591430664,-118.01325225830078,0.8617550730705261
65,2881632,47067.64316558838,116.95458221435548,-3.7793056964874254,112.29454040527344,-116.95458221435548,0.8807296752929688
66,2927328,47791.705659389496,118.41778564453124,-3.832255601882935,113.69281768798828,-118.41778564453124,0.8926994204521179
67,2973344,48515.8952896595,118.79298400878906,-3.849029302597046,114.02855682373048,-118.79298400878906,0.9154080152511596
68,3019424,49240.07655453682,116.19615936279295,-3.812432527542114,111.4745864868164,-116.19615936279295,0.9091424942016602
69,3065728,49964.15051698685,116.75048828125,-3.786631584167481,112.06094360351562,-116.75048828125,0.9029111862182616
70,3111104,50688.26946949959,118.67877197265624,-3.812192916870117,113.9642562866211,-118.67877197265624,0.902317762374878
71,3156880,51412.50283455849,119.39835357666016,-3.814040899276733,114.66851806640624,-119.39835357666016,0.9157984256744384
72,3202864,52136.5788564682,118.34490203857422,-3.724421739578247,113.72554779052734,-118.34490203857422,0.8949240446090698
73,3249328,52861.01034116745,117.88711547851562,-3.717444658279419,113.28572845458984,-117.88711547851562,0.8839473128318787
74,3295424,53585.29141950607,114.78695678710938,-3.6542325019836426,110.25900268554688,-114.78695678710938,0.87371826171875
75,3340880,54309.43626785278,116.26792907714844,-3.686683654785156,111.69649505615234,-116.26792907714844,0.8847404718399048
76,3386736,55033.54051232338,115.70191192626952,-3.699827909469605,111.11780548095705,-115.70191192626952,0.884277880191803
77,3432656,55757.70510315895,113.39546966552734,-3.6684865951538086,108.8471450805664,-113.39546966552734,0.8798351883888245
78,3478480,56482.23126220703,112.91129302978516,-3.608530759811402,108.45327758789062,-112.91129302978516,0.8494860529899597
79,3523968,57206.201130628586,113.95530700683594,-3.614788055419922,109.47935485839844,-113.95530700683594,0.8611534833908081
80,3569424,57930.43349409104,112.69330596923828,-3.625279188156128,108.21607971191406,-112.69330596923828,0.8519430160522461
81,3615168,58655.92744874954,109.8539047241211,-3.604722499847412,105.40046691894533,-109.8539047241211,0.8487156629562378
82,3661072,59380.06401515007,108.48171997070312,-3.611754894256592,103.98873901367188,-108.48171997070312,0.8812342882156372
83,3706864,60104.29345083237,110.63961029052734,-3.617130756378174,106.13927459716795,-110.63961029052734,0.8832142949104309
84,3752736,60828.4101638794,111.6723175048828,-3.628925085067749,107.1741714477539,-111.6723175048828,0.8692275881767273
85,3798240,61552.6999604702,110.3606948852539,-3.673135280609131,105.79510498046876,-110.3606948852539,0.8924457430839539
